Census Tract,Total Population,California County,ZIP,Approximate Location,CES 4.0 Score,Pollution Burden Score,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Unemployment,Housing Burden,Pop. Char. Score,PovertyRate,lapophalfshare,lalowihalfshare,lapop1share,lalowi1share,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%),Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,LATractsVehicle_20,CVD Risk Level
6087120500,5738,Santa Cruz,95006,Unincorporated Santa Cruz County area,6.21,2.73,19.06,5.75,6.07,1.8,4,13,2.27,6.1,100,11.9,100,11.94,9.43,70.69,19.8,9.18,77.3,0.1,0,5.42,7.95,1,0,0,0,0,0,0,0,Mild
6007001400,6088,Butte ,95973,Unincorporated Butte County area,10.5,4.64,36.72,3.6,9.62,10,2.7,6.5,2.28,5.2,99.9,15.8,99.68,15.81,12.4,67.33,20.2,16.5,81.1,0.03,0,1.72,0.54,0,0,0,0,0,0,0,0,Moderate
6079013000,2741,San Luis Obispo,93428,Unincorporated San Luis Obispo County area,9.8,4.3,19.63,4,4.88,7,NA,7.7,2.28,8.8,100,24.9,98.26,24.64,13.3,58.74,27.9,22.6,73,0.15,0,4.12,0.07,0,0,0,0,0,0,0,0,Mild
6053011602,5991,Monterey ,93923,Unincorporated Monterey County area,5.29,2.32,18.81,4.5,5.06,4.8,5.2,13,2.28,6.7,86.8,16.3,66.48,13.57,4.49,51.11,44.4,5.59,81.1,0.05,0.58,7.39,5.21,0,0,0,0,0,1,0,1,Mild
6037910808,3445,Los Angeles,91387,Unincorporated Los Angeles County area,8.67,3.8,32.81,2.74,9.62,7.3,5.6,6.3,2.28,4.6,100,7.09,100,7.09,12.5,75.59,11.9,25.4,64,5.46,0,0.55,4.53,1,0,0,0,0,0,0,0,Moderate
6081605000,8376,San Mateo,94010,Burlingame,12.5,5.5,19.85,3.56,6.58,7.9,4.4,13,2.28,5.8,72.5,6.51,42.07,2.36,13.3,67.29,19.3,6.89,43,2.08,0,41,6.9,1,0,0,0,0,0,0,0,Mild
6111002000,2622,Ventura ,93001,San Buenaventura (Ventura),9.56,4.19,53.41,3.6,9.64,1.2,2.7,8.7,2.28,4.1,44.6,8.5,0,0,8.35,67.28,24.3,10.9,78.9,1.37,0,4.77,3.97,1,0,0,0,0,0,0,0,Moderate
6059052427,5662,Orange ,92610,Lake Forest,11,4.85,15.06,5.51,9.16,2.5,2.8,8.9,2.28,2.1,73.4,3.5,16.74,0.79,12.5,79.72,7.74,9.77,57.8,2.49,0,24.2,5.63,1,0,0,0,0,0,0,0,Mild
6001450501,3156,Alameda ,94568,Dublin,9.62,4.21,32.04,3.63,9.14,4.3,4.2,7.5,2.28,5.6,47.2,4.19,,,13.2,72.37,14.4,8.9,59.5,0,0.63,25.5,5.35,1,0,0,0,0,0,0,0,Mild
6067005804,2425,Sacramento ,95608,Carmichael,6.18,2.7,55.81,3.41,9.86,3.2,1.9,7.9,2.29,2.3,50.2,2.99,1.31,0.08,11.8,58.47,29.6,7.59,80.8,0,0,6.89,4.7,1,0,0,0,0,0,0,0,Moderate
